run,tempo_liao,tempo_mine
1,11.630,11.233
2,10.930,10.947
3,10.707,12.097
4,10.229,10.399
5,10.781,11.065
6,11.460,10.390
7,10.936,12.834
8,13.347,11.025
9,12.814,12.195
10,11.898,11.187
11,10.995,10.209
12,10.745,10.610
13,12.410,12.843
14,11.739,10.831
15,10.635,10.029
16,10.315,10.542
17,10.309,10.460
18,10.677,11.574
19,9.948,10.769
20,10.304,10.664
21,10.268,12.075
22,12.882,14.927
23,12.231,11.114
24,11.203,10.571
25,12.421,11.392
26,11.122,11.208
27,11.653,10.890
28,11.366,10.775
29,10.921,11.033
30,9.932,11.246
